Product Name,2017 Budgets
Product 1,3016489.209
Product 2,3050087.565
Product 3,2642352.432
Product 4,2885560.824
Product 5,3925424.5420000004
Product 6,1672229.416
Product 7,889737.555
Product 8,1085037.3290000001
Product 9,710415.405
Product 10,864331.624
Product 11,1230458.484
Product 12,1356976.996
Product 13,3720639.645
Product 14,4028698.4090000005
Product 15,3299478.315
Product 16,2062061.144
Product 17,2119616.824
Product 18,2309499.045
Product 19,1645841.6
Product 20,2067108.1199999999
Product 21,959899.2180000001
Product 22,663601.902
Product 23,1135815.7580000001
Product 24,756557.97
Product 25,5342315.484
Product 26,5685138.2700000005
Product 27,964940.2310000001
Product 28,1003867.767
Product 29,594471.5700000001
Product 30,1011609.684
